Text,X,Y,Fill,Stroke,FontSize,FontFamily,TextAnchor
sleep,90.023804,88.02211,#e26868,#e26868,9.382px,Abel,
mon,126.6815,157.85286,#008000,,9.382px,Abel,middle
end,227.51042,89.803528,#e26868,#e26868,9.382px,Abel,
home,257.76917,89.819031,#e26868,#e26868,9.382px,Abel,
↑,130.83371,87.934166,#e26868,#e26868,9.382px,Abel,
↓,139.19321,119.88393,#e26868,#e26868,9.382px,Abel,
←,103.28179,122.56843,#e26868,#e26868,9.382px,Abel,
→,170.49721,122.56843,#e26868,#e26868,9.382px,Abel,
ins,161.34128,89.803528,#e26868,#e26868,9.382px,Abel,
pgdn,191.81075,89.803528,#e26868,#e26868,9.382px,Abel,
pgup,292.53024,88.013641,#e26868,#e26868,9.382px,Abel,
voldn,359.12955,89.803528,#e26868,#e26868,9.382px,Abel,
volup,426.27957,89.780128,#e26868,#e26868,9.382px,Abel,
cs→,367.50821,121.75758,#e26868,#e26868,9.382px,Abel,
sft↑,327.22394,89.803528,#e26868,#e26868,9.382px,Abel,
cs←,300.34824,121.75758,#e26868,#e26868,9.382px,Abel,
mrb,269.0527,121.79887,#e26868,#e26868,9.382px,Abel,
mlb,235.78651,121.75758,#e26868,#e26868,9.382px,Abel,
mmb,199.92879,121.75758,#e26868,#e26868,9.382px,Abel,
bsr←,149.83189,157.36844,#e26868,#e26868,9.382px,Abel,
alt←,193.733,157.36844,#e26868,#e26868,9.382px,Abel,middle
ctl→,295.83899,157.40254,#e26868,#e26868,9.382px,Abel,middle
bsr→,350.85687,157.40254,#e26868,#e26868,9.382px,Abel,
alt→,329.68082,157.40254,#e26868,#e26868,9.382px,Abel,middle
ctl←,227.3125,157.41513,#e26868,#e26868,9.382px,Abel,middle
₹,180.50778,57.433922,#e26868,#e26868,9.382px,Abel,
swtch,37.750328,56.250175,#0000ff,,9.382px,Abel,
terminal,252.35796,189.12068,#e26868,#e26868,9.382px,Abel,
srtct,469.36081,189.66391,#e26868,#e26868,9.382px,Abel,middle
7,566.09033,53.555206,#e26868,#e26868,9.382px,Abel,
8,600.04639,53.555206,#e26868,#e26868,9.382px,Abel,
9,633.10565,53.555206,#e26868,#e26868,9.382px,Abel,
6,633.10565,85.555206,#e26868,#e26868,9.382px,Abel,
5,600.04639,85.555206,#e26868,#e26868,9.382px,Abel,
4,566.466,85.555206,#e26868,#e26868,9.382px,Abel,
1,565.84949,119.55521,#e26868,#e26868,9.382px,Abel,
2,600.23187,119.55521,#e26868,#e26868,9.382px,Abel,
3,633.03235,119.55521,#e26868,#e26868,9.382px,Abel,
0,600.04639,158.94687,#e26868,#e26868,9.382px,Abel,
—,418.70251,50.32991,#ffff00,#ffff00,9.382px,Abel,middle
–,418.70251,56.32991,#e26868,#e26868,9.382px,Abel,middle
.,601.44818,187.6156,#e26868,#e26868,9.382px,Abel,
-,567.29749,190.41005,#e26868,#e26868,9.382px,Abel,
+,632.89038,190.45381,#e26868,#e26868,9.382px,Abel,
del,491.78284,55.3423,#e26868,#e26868,9.382px,Abel,
sft↓,336.52722,122.3492,#e26868,#e26868,9.382px,Abel,
mute,400.9418,122.3492,#e26868,#e26868,9.382px,Abel,
type,253.43192,157.89023,#008000,,9.382px,Abel,
dark,387.36627,157.90254,#008000,,9.382px,Abel,
code,420.34073,157.90254,#008000,,9.382px,Abel,
