Text,X,Y,Fill,Stroke,FontSize,FontFamily,TextAnchor
`,39.16227,42.929966,#999999,,6px,Abel,middle
1,71.828423,43,#999999,,6px,Abel,middle
2,105.43242,42.824535,#999999,,6px,Abel,middle
3,138.77229,42.824535,#999999,,6px,Abel,middle
4,172.72115,42.765942,#999999,,6px,Abel,middle
5,206.11201,42.765942,#999999,,6px,Abel,middle
6,239.78188,42.824535,#999999,,6px,Abel,middle
7,273.38571,42.765942,#999999,,6px,Abel,middle
8,306.98953,42.824535,#999999,,6px,Abel,middle
9,340.32928,42.824535,#999999,,6px,Abel,middle
0,374.32928,42.824535,#999999,,6px,Abel,middle
-,409,43,#999999,,6px,Abel,middle
=,441.75497,42.471771,#999999,,6px,Abel,middle
Backspace,485.22034,42.205788,#999999,,5.2px,Abel,middle
Q,88.792755,77.654213,#999999,,6px,Abel,middle
W,123.88264,77.595619,#999999,,6px,Abel,middle
E,156.26193,77.595619,#999999,,6px,Abel,middle
R,189.72632,77.595619,#999999,,6px,Abel,middle
T,223.01189,77.595619,#999999,,6px,Abel,middle
Y,256.2095,77.595619,#999999,,6px,Abel,middle
U,290.05621,77.595619,#999999,,6px,Abel,middle
I,323.06467,77.595619,#999999,,6px,Abel,middle
O,356.73083,77.692734,#999999,,6px,Abel,middle
P,391.07672,77.595619,#999999,,6px,Abel,middle
[,423.74817,78.099525,#999999,,6px,Abel,middle
],457.33014,78.099525,#999999,,6px,Abel,middle
\,491.33014,77.953041,#999999,,6px,Abel,middle
Caps,43.474678,111.59933,#999999,,5.5px,Abel,middle
Tab,42.121162,77.245522,#999999,,5.5px,Abel,middle
A,96.856773,112.51869,#999999,,6px,Abel,middle
S,130.3754,112.57729,#999999,,6px,Abel,middle
D,164.37543,112.51869,#999999,,6px,Abel,middle
F,197.91898,112.51869,#999999,,6px,Abel,middle
G,231.1012,112.57729,#999999,,6px,Abel,middle
H,265.12357,112.51869,#999999,,6px,Abel,middle
J,298.08704,112.51869,#999999,,6px,Abel,middle
K,331.81436,112.51869,#999999,,6px,Abel,middle
L,364.97134,112.51869,#999999,,6px,Abel,middle
;,398.6189,111.31752,#999999,,6px,Abel,middle
',431.7525,112.51869,#999999,,6px,Abel,middle
Enter,471.42282,112.16859,#999999,,5.5px,Abel,middle
Shift,43.353828,146.05862,#999999,,5.5px,Abel,middle
Z,117.05131,147.53513,#999999,,6px,Abel,middle
X,149.69728,147.53513,#999999,,6px,Abel,middle
C,184.1954,147.59372,#999999,,6px,Abel,middle
V,217.15399,147.53513,#999999,,6px,Abel,middle
B,250.27452,147.53513,#999999,,6px,Abel,middle
N,284.26022,147.53513,#999999,,6px,Abel,middle
M,317.8219,147.53513,#999999,,6px,Abel,middle
",",350.23163,143.78513,#999999,,6px,Abel,middle
.,383.6716,143.78513,#999999,,6px,Abel,middle
/,417.25095,147.89255,#999999,,6px,Abel,middle
Shift,455.46432,147.23874,#999999,,5.5px,Abel,middle
Ctrl,42.064766,180.79803,#999999,,5.5px,Abel,middle
Win,92.546318,180.54102,#999999,,5.5px,Abel,middle
Alt,126.32769,180.54102,#999999,,5.5px,Abel,middle
Space,266.8295,180.59473,#999999,,5.5px,Abel,middle
Alt,380.29837,180.54102,#999999,,5.5px,Abel,middle
Fn,428.01346,180.54102,#999999,,5.5px,Abel,middle
Menu,464.4118,180.54102,#999999,,5.5px,Abel,middle
Ctrl,496.63843,180.59473,#999999,,5.5px,Abel,middle
PrtSc,562.36475,39,#999999,,4.8px,Abel,middle
ScrLk,596.36475,39,#999999,,4.8px,Abel,middle
Pause,628.36475,39,#999999,,4.8px,Abel,middle
Ins,559.96851,73.198074,#999999,,5px,Abel,middle
Home,596.51562,73,#999999,,5px,Abel,middle
PgUp,627.77039,72.160934,#999999,,5px,Abel,middle
Del,560.0061,106.75514,#999999,,5px,Abel,middle
End,594.71375,106.82117,#999999,,5px,Abel,middle
PgDn,627.72314,106.09489,#999999,,5px,Abel,middle
↑,602.45453,148,#999999,,6px,Abel,middle
←,568.64349,181,#999999,,6px,Abel,middle
↓,602.45453,180.61279,#999999,,6px,Abel,middle
→,635.61298,181,#999999,,6px,Abel,middle
